Size,Time
1,0.000000238
2,0.000000238
3,0.000000238
4,0.000000477
5,0.000000477
10,0.000000477
15,0.000000477
20,0.000000954
25,0.000000954
30,0.000001192
35,0.000001431
40,0.000001669
45,0.000001431
50,0.000001669
100,0.000002623
150,0.000002861
200,0.000003815
250,0.000008345
300,0.000010729
350,0.000013113
400,0.000032663
450,0.000010490
500,0.000011921
1000,0.000024319
1500,0.000035286
2000,0.000072002
2500,0.000061035
3000,0.000069141
3500,0.000089169
4000,0.000184774
4500,0.000121117
5000,0.000123024
10000,0.000266075
15000,0.000418186
20000,0.000579596
25000,0.000671864
30000,0.000859499
35000,0.000968933
40000,0.001400232
45000,0.001558781
50000,0.001616955
100000,0.005873680
150000,0.005507469
200000,0.007353783
250000,0.013116598
300000,0.018028259
350000,0.026675701
400000,0.029073000
450000,0.035715103
500000,0.053444147
1000000,0.107616901
