Size,Time
1,0.000000715
2,0.000001431
3,0.000001431
4,0.000001907
5,0.000001907
6,0.000002146
7,0.000002623
8,0.000002861
9,0.000004053
10,0.000003815
20,0.000007629
30,0.000011206
40,0.000015020
50,0.000017881
60,0.000022173
70,0.000024796
80,0.000029564
90,0.000034094
100,0.000035048
200,0.000050306
300,0.000078917
400,0.000108719
500,0.000132084
600,0.000279903
700,0.000332355
800,0.000365257
900,0.000262499
1000,0.000302076
2000,0.000578880
3000,0.000926256
4000,0.001351118
5000,0.001600742
6000,0.002671957
7000,0.003014803
8000,0.002658367
9000,0.004019737
10000,0.004124165
20000,0.007390261
30000,0.015292406
40000,0.016119719
50000,0.020170927
60000,0.026254177
70000,0.031390905
80000,0.039058924
90000,0.045092821
100000,0.044868231
200000,0.099461555
300000,0.201766968
400000,0.208711863
500000,0.379548073
600000,0.331936359
700000,0.465858698
800000,0.535603046
900000,0.718997955
1000000,0.665873289
2000000,1.989697456
