Size,Time
1,0.000000477
2,0.000000477
3,0.000000477
4,0.000000715
5,0.000001192
6,0.000001192
7,0.000001431
8,0.000001192
9,0.000001192
10,0.000001431
20,0.000002623
30,0.000003338
40,0.000004768
50,0.000005484
60,0.000006914
70,0.000024319
80,0.000009060
90,0.000009537
100,0.000011206
200,0.000014305
300,0.000025034
400,0.000037193
500,0.000076294
600,0.000133276
700,0.000169754
800,0.000211954
900,0.000121593
1000,0.000147343
2000,0.000466108
3000,0.000917196
4000,0.002427816
5000,0.002316475
6000,0.007039785
7000,0.004823923
8000,0.005861998
9000,0.008251667
10000,0.009814501
20000,0.034987211
30000,0.075321198
40000,0.129926920
50000,0.207174540
60000,0.292261600
70000,0.394232988
80000,0.520517111
90000,0.650900841
100000,0.811486959
200000,3.260213614
300000,7.401774883
400000,13.010695934
500000,20.428148508
600000,29.546897650
700000,40.176983595
800000,52.789917707
900000,66.510719538
1000000,81.850472450
2000000,326.944117308
