Size,Time
0,0.000000477
1,0.000000954
2,0.000001192
3,0.000001669
4,0.000001907
5,0.000002384
10,0.000003576
15,0.000005007
20,0.000006914
25,0.000007868
30,0.000009060
35,0.000010252
40,0.000012159
45,0.000013828
50,0.000014067
100,0.000027657
150,0.000040770
200,0.000056982
250,0.000061750
300,0.000087738
350,0.000098228
400,0.000115395
450,0.000129461
500,0.000102520
1000,0.000159740
1500,0.000239849
2000,0.000355959
2500,0.000422478
3000,0.000513077
3500,0.000969648
4000,0.000674009
4500,0.000819206
5000,0.000962257
10000,0.001605749
15000,0.002429485
20000,0.003207207
25000,0.004337072
30000,0.004794359
35000,0.005920649
40000,0.006889343
45000,0.008647919
50000,0.008319378
100000,0.017245054
150000,0.026464224
200000,0.036283731
250000,0.042360067
300000,0.055545330
350000,0.060902834
400000,0.070994616
450000,0.079075336
500000,0.093186855
1000000,0.180515766
