Size,Time
0,0.000000477
1,0.000000477
2,0.000000477
3,0.000000477
4,0.000000715
5,0.000000715
10,0.000000954
15,0.000001192
20,0.000001669
25,0.000002146
30,0.000002146
35,0.000002861
40,0.000003338
45,0.000004292
50,0.000003815
100,0.000006437
150,0.000011683
200,0.000012398
250,0.000008345
300,0.000018120
350,0.000023127
400,0.000026464
450,0.000029564
500,0.000033140
1000,0.000036955
1500,0.000079155
2000,0.000103474
2500,0.000133038
3000,0.000156879
3500,0.000134706
4000,0.000208378
4500,0.000319242
5000,0.000391960
10000,0.000526667
15000,0.000945091
20000,0.000858545
25000,0.001518250
30000,0.001727819
35000,0.001887321
40000,0.001583099
45000,0.002353430
50000,0.002692938
100000,0.004171610
150000,0.006739140
200000,0.012269735
250000,0.009921789
300000,0.023566246
350000,0.019650221
400000,0.022364855
450000,0.018629551
500000,0.043343544
1000000,0.042098522
