Size,Time
0,0.000000000
1,0.000000954
2,0.000001192
3,0.000001192
4,0.000001907
5,0.000002146
10,0.000003576
15,0.000005007
20,0.000006676
25,0.000007391
30,0.000009298
35,0.000010252
40,0.000010967
45,0.000013828
50,0.000014067
100,0.000015974
150,0.000025511
200,0.000057697
250,0.000069618
300,0.000082016
350,0.000098228
400,0.000114679
450,0.000076771
500,0.000083208
1000,0.000167608
1500,0.000231743
2000,0.000400782
2500,0.000431061
3000,0.000531435
3500,0.000563622
4000,0.000793934
4500,0.000751019
5000,0.000814199
10000,0.001775026
15000,0.002798557
20000,0.005044222
25000,0.005478382
30000,0.005313158
35000,0.006448746
40000,0.008257866
45000,0.007790089
50000,0.011408567
100000,0.020280838
150000,0.027555227
200000,0.033622026
250000,0.044926882
300000,0.050029755
350000,0.058545351
400000,0.070895195
450000,0.080289364
500000,0.083204746
1000000,0.180711508
