Size,Time
0,0.000000238
1,0.000000715
2,0.000000477
3,0.000000954
4,0.000000715
5,0.000000477
10,0.000000715
15,0.000001192
20,0.000001669
25,0.000002146
30,0.000002146
35,0.000002623
40,0.000002384
45,0.000011444
50,0.000003338
100,0.000003338
150,0.000007391
200,0.000011683
250,0.000015259
300,0.000018358
350,0.000023127
400,0.000026226
450,0.000021696
500,0.000017405
1000,0.000035763
1500,0.000077963
2000,0.000101089
2500,0.000123024
3000,0.000165462
3500,0.000133991
4000,0.000202179
4500,0.000226021
5000,0.000193834
10000,0.000512600
15000,0.000656128
20000,0.000983238
25000,0.002347469
30000,0.001716137
35000,0.001418352
40000,0.001611233
45000,0.002259254
50000,0.004434824
100000,0.005150080
150000,0.006476641
200000,0.011019468
250000,0.011086941
300000,0.015932798
350000,0.018920660
400000,0.021615982
450000,0.019683599
500000,0.026845932
1000000,0.042788982
