Size,Time
0,0.000000238
1,0.000000715
2,0.000001431
3,0.000001431
4,0.000001669
5,0.000002384
10,0.000003815
15,0.000005007
20,0.000006199
25,0.000025034
30,0.000009537
35,0.000010967
40,0.000012398
45,0.000013351
50,0.000014544
100,0.000027418
150,0.000041962
200,0.000056744
250,0.000071764
300,0.000083208
350,0.000099421
400,0.000114202
450,0.000113964
500,0.000082016
1000,0.000202894
1500,0.000244141
2000,0.000386000
2500,0.000412226
3000,0.000490189
3500,0.000569820
4000,0.000669479
4500,0.001394749
5000,0.000806093
10000,0.001635075
15000,0.002469301
20000,0.003370285
25000,0.004166842
30000,0.005157471
35000,0.006037712
40000,0.007419586
45000,0.008191347
50000,0.009377241
100000,0.017286062
150000,0.027377605
200000,0.033464432
250000,0.049822569
300000,0.050864458
350000,0.058105946
400000,0.067814589
450000,0.098792791
500000,0.083969593
1000000,0.202835321
