Size,Time
0,0.000000238
1,0.000000477
2,0.000000477
3,0.000000715
4,0.000000715
5,0.000000954
10,0.000000954
15,0.000001669
20,0.000001431
25,0.000002384
30,0.000002384
35,0.000003815
40,0.000003815
45,0.000004292
50,0.000005007
100,0.000007153
150,0.000014544
200,0.000016689
250,0.000023127
300,0.000030994
350,0.000039816
400,0.000047207
450,0.000040054
500,0.000038147
1000,0.000115395
1500,0.000267506
2000,0.000463247
2500,0.000598907
3000,0.000855446
3500,0.001107931
4000,0.001585960
4500,0.001964808
5000,0.002266169
10000,0.009295225
15000,0.020949602
20000,0.037296057
25000,0.053773165
30000,0.095139503
35000,0.104253292
40000,0.139675140
45000,0.178877831
50000,0.258075476
100000,0.932987452
150000,2.118119001
200000,3.760742903
250000,5.808040619
300000,8.283729315
350000,10.648956537
400000,14.262767315
450000,17.842053890
500000,20.680293798
1000000,84.043276787
