Size,Time
0,0.000000477
1,0.000000715
2,0.000001192
3,0.000001192
4,0.000001669
5,0.000001907
10,0.000003338
15,0.000004530
20,0.000006199
25,0.000007153
30,0.000009298
35,0.000008821
40,0.000011206
45,0.000012875
50,0.000013590
100,0.000026226
150,0.000039816
200,0.000056982
250,0.000038147
300,0.000085354
350,0.000096083
400,0.000109911
450,0.000132561
500,0.000079155
1000,0.000159264
1500,0.000323296
2000,0.000593662
2500,0.000766754
3000,0.000494242
3500,0.000563860
4000,0.000653982
4500,0.000747204
5000,0.001256704
10000,0.001998186
15000,0.002468824
20000,0.003266335
25000,0.004007578
30000,0.004793406
35000,0.005511045
40000,0.006657362
45000,0.007478237
50000,0.007866859
100000,0.020896912
150000,0.027800083
200000,0.034436226
250000,0.042251348
300000,0.049991608
350000,0.058944225
400000,0.069931507
450000,0.086371660
500000,0.083479881
1000000,0.180216312
