Size,Time
0,0.000000715
1,0.000000715
2,0.000000715
3,0.000000954
4,0.000000954
5,0.000000715
10,0.000001192
15,0.000001669
20,0.000001669
25,0.000002146
30,0.000002623
35,0.000002861
40,0.000003338
45,0.000004292
50,0.000003815
100,0.000008345
150,0.000016928
200,0.000024319
250,0.000020266
300,0.000042200
350,0.000058889
400,0.000090837
450,0.000082016
500,0.000064850
1000,0.000218630
1500,0.000501394
2000,0.001135349
2500,0.001415968
3000,0.001919746
3500,0.003047705
4000,0.003601074
4500,0.004826307
5000,0.005655050
10000,0.021436691
15000,0.046386719
20000,0.082688808
25000,0.128960371
30000,0.206350088
35000,0.287477493
40000,0.341793060
45000,0.436477184
50000,0.550720215
100000,2.250696898
150000,5.051914930
200000,8.983744860
250000,14.031453609
300000,19.793960094
350000,26.605935335
400000,34.731308460
450000,42.498679399
500000,53.521474838
1000000,202.512031317
