Size,Time
0,0.000000238
1,0.000001192
2,0.000000954
3,0.000001431
4,0.000001907
5,0.000002146
10,0.000003815
15,0.000005007
20,0.000006199
25,0.000008106
30,0.000008106
35,0.000009775
40,0.000012159
45,0.000013351
50,0.000014305
100,0.000026941
150,0.000036001
200,0.000056267
250,0.000069141
300,0.000086546
350,0.000097752
400,0.000113964
450,0.000073433
500,0.000112772
1000,0.000165462
1500,0.000306606
2000,0.000382900
2500,0.000416279
3000,0.000483513
3500,0.000580549
4000,0.000646353
4500,0.000786781
5000,0.000816584
10000,0.001821995
15000,0.002427101
20000,0.003827333
25000,0.003919601
30000,0.005739212
35000,0.006466627
40000,0.006674290
45000,0.007930040
50000,0.008208990
100000,0.018141031
150000,0.026859522
200000,0.035028458
250000,0.044234753
300000,0.054378033
350000,0.059933901
400000,0.082693577
450000,0.074942589
500000,0.082046032
1000000,0.172739983
