Size,Time
0,0.000000238
1,0.000000715
2,0.000000477
3,0.000000477
4,0.000000477
5,0.000000954
10,0.000001192
15,0.000001431
20,0.000001669
25,0.000002384
30,0.000002623
35,0.000003099
40,0.000003576
45,0.000004768
50,0.000004292
100,0.000008821
150,0.000017881
200,0.000022650
250,0.000033855
300,0.000044584
350,0.000058413
400,0.000072002
450,0.000054598
500,0.000065565
1000,0.000218153
1500,0.000506878
2000,0.000899076
2500,0.001298189
3000,0.001881599
3500,0.002568722
4000,0.003412247
4500,0.004396915
5000,0.005219460
10000,0.022705555
15000,0.045766115
20000,0.088567019
25000,0.127193689
30000,0.210304260
35000,0.257878542
40000,0.344480991
45000,0.437483549
50000,0.543323755
100000,2.239449024
150000,5.042296648
200000,8.947065830
250000,13.948140144
300000,19.810476542
350000,24.638942003
400000,34.660781145
450000,42.476698637
500000,49.594813824
1000000,202.753334522
