Size,Time
0,0.000000477
1,0.000000715
2,0.000001192
3,0.000001431
4,0.000001669
5,0.000001907
10,0.000003338
15,0.000005007
20,0.000006676
25,0.000007868
30,0.000009298
35,0.000011444
40,0.000012159
45,0.000015497
50,0.000013828
100,0.000027418
150,0.000046730
200,0.000052929
250,0.000069380
300,0.000083923
350,0.000103712
400,0.000148535
450,0.000084162
500,0.000158787
1000,0.000283003
1500,0.000257015
2000,0.000364780
2500,0.000441074
3000,0.000526905
3500,0.000674486
4000,0.000816345
4500,0.001092434
5000,0.000865221
10000,0.001716137
15000,0.002613306
20000,0.003450632
25000,0.004211426
30000,0.005404234
35000,0.006182909
40000,0.007026196
45000,0.007557154
50000,0.009063005
100000,0.017103434
150000,0.030256510
200000,0.034058571
250000,0.066784859
300000,0.055943727
350000,0.063070536
400000,0.067767382
450000,0.089589357
500000,0.083857775
1000000,0.212489367
