Size,Time
0,0.000000238
1,0.000000477
2,0.000000477
3,0.000000477
4,0.000000954
5,0.000001192
10,0.000000954
15,0.000001669
20,0.000001907
25,0.000002146
30,0.000002384
35,0.000002861
40,0.000004530
45,0.000004530
50,0.000004053
100,0.000007391
150,0.000016451
200,0.000011683
250,0.000026464
300,0.000034571
350,0.000043392
400,0.000051498
450,0.000045538
500,0.000075579
1000,0.000173092
1500,0.000324249
2000,0.000581503
2500,0.000819206
3000,0.001191854
3500,0.001719713
4000,0.002588272
4500,0.002751112
5000,0.003754139
10000,0.012187243
15000,0.028049707
20000,0.048381090
25000,0.077038765
30000,0.115447760
35000,0.160198212
40000,0.199923515
45000,0.262515545
50000,0.326669216
100000,1.322965622
150000,2.942382097
200000,4.729943991
250000,8.151694775
300000,11.471920252
350000,14.330160856
400000,20.165017366
450000,24.617223024
500000,29.033329010
1000000,118.381944895
