Size,Time
1,0.000002861
2,0.000002146
3,0.000002384
4,0.000001907
5,0.000002146
6,0.000002623
7,0.000003099
8,0.000002861
9,0.000003338
10,0.000004053
20,0.000007153
30,0.000010490
40,0.000012398
50,0.000014305
60,0.000018120
70,0.000018835
80,0.000047684
90,0.000029087
100,0.000030041
200,0.000058889
300,0.000093937
400,0.000125408
500,0.000110865
600,0.000191927
700,0.000242472
800,0.000258446
900,0.000289440
1000,0.000214577
2000,0.000382662
3000,0.000575304
4000,0.000765800
5000,0.000930548
6000,0.001154661
7000,0.001322985
8000,0.001595736
9000,0.002817154
10000,0.002128363
20000,0.004407644
30000,0.006712675
40000,0.008157015
50000,0.009862423
60000,0.012256861
70000,0.013372660
80000,0.015165329
90000,0.017763615
100000,0.019737482
200000,0.040222883
300000,0.058509350
400000,0.082242489
500000,0.097437620
600000,0.172129869
700000,0.135089159
800000,0.155195475
900000,0.164862156
1000000,0.262995720
2000000,0.418042898
