Size,Time
1,0.000000954
2,0.000000715
3,0.000000715
4,0.000000715
5,0.000000954
6,0.000000954
7,0.000001192
8,0.000001192
9,0.000001192
10,0.000001192
20,0.000001907
30,0.000003338
40,0.000004053
50,0.000005007
60,0.000005245
70,0.000006199
80,0.000006914
90,0.000008106
100,0.000013590
200,0.000015020
300,0.000031471
400,0.000036478
500,0.000028133
600,0.000061035
700,0.000064135
800,0.000068903
900,0.000099897
1000,0.000050783
2000,0.000107765
3000,0.000167847
4000,0.000228405
5000,0.000275850
6000,0.000371933
7000,0.000390291
8000,0.000542402
9000,0.000837326
10000,0.000564814
20000,0.001105070
30000,0.001785755
40000,0.002395630
50000,0.002681255
60000,0.003252983
70000,0.003853083
80000,0.004438877
90000,0.005129099
100000,0.005762100
200000,0.012358427
300000,0.017807961
400000,0.022428036
500000,0.029549599
600000,0.039798498
700000,0.038745642
800000,0.047605276
900000,0.055413246
1000000,0.058792591
2000000,0.110605717
