Size,Time
1,0.000000954
2,0.000001192
3,0.000001669
4,0.000001669
5,0.000001907
6,0.000002384
7,0.000002146
8,0.000002384
9,0.000003338
10,0.000003338
20,0.000005960
30,0.000009060
40,0.000012159
50,0.000013113
60,0.000017881
70,0.000020504
80,0.000025511
90,0.000028610
100,0.000027180
200,0.000070572
300,0.000106096
400,0.000081778
500,0.000167370
600,0.000180006
700,0.000216961
800,0.000257254
900,0.000167608
1000,0.000348568
2000,0.000396490
3000,0.000546217
4000,0.000734329
5000,0.000904083
6000,0.001110792
7000,0.001263380
8000,0.002279043
9000,0.001969099
10000,0.001853943
20000,0.003979683
30000,0.006179571
40000,0.009132385
50000,0.009816408
60000,0.011464357
70000,0.015209913
80000,0.018974543
90000,0.016766071
100000,0.018450022
200000,0.034833193
300000,0.067844152
400000,0.077318192
500000,0.126477480
600000,0.117678165
700000,0.131498098
800000,0.163074017
900000,0.251521111
1000000,0.190955877
2000000,0.548381090
