Size,Time
1,0.000000477
2,0.000000715
3,0.000000954
4,0.000000954
5,0.000000715
6,0.000000954
7,0.000001192
8,0.000001431
9,0.000001669
10,0.000001192
20,0.000002146
30,0.000003099
40,0.000004292
50,0.000005484
60,0.000006676
70,0.000011683
80,0.000010014
90,0.000010729
100,0.000012159
200,0.000029564
300,0.000028610
400,0.000043869
500,0.000115156
600,0.000153780
700,0.000201702
800,0.000283957
900,0.000142336
1000,0.000401497
2000,0.000766993
3000,0.001220942
4000,0.002413511
5000,0.003489017
6000,0.005441189
7000,0.006659031
8000,0.014910221
9000,0.011085272
10000,0.013148785
20000,0.053750992
30000,0.116885662
40000,0.201359987
50000,0.329213858
60000,0.469641924
70000,0.609592915
80000,0.797814369
90000,1.002122402
100000,1.268355370
200000,4.965593100
300000,11.183383226
400000,19.750742674
500000,30.856140137
600000,44.730649710
700000,60.745634079
800000,79.592625856
900000,100.287820101
1000000,123.995660067
2000000,492.087008476
