Size,Time
1,0.000001192
2,0.000001192
3,0.000001431
4,0.000001907
5,0.000001907
6,0.000002384
7,0.000002384
8,0.000002861
9,0.000003099
10,0.000003099
20,0.000006676
30,0.000009060
40,0.000010967
50,0.000013113
60,0.000015974
70,0.000019073
80,0.000022650
90,0.000029564
100,0.000028133
200,0.000061989
300,0.000094652
400,0.000138283
500,0.000151634
600,0.000197649
700,0.000215292
800,0.000260115
900,0.000164032
1000,0.000209332
2000,0.000652552
3000,0.000574112
4000,0.000886440
5000,0.000958681
6000,0.001203537
7000,0.002033472
8000,0.001497030
9000,0.001698971
10000,0.001854658
20000,0.003600359
30000,0.005252600
40000,0.008023500
50000,0.009703875
60000,0.011527538
70000,0.014018059
80000,0.016954899
90000,0.017897606
100000,0.018260002
200000,0.035533428
300000,0.054362297
400000,0.071121693
500000,0.089816332
600000,0.105285645
700000,0.128856897
800000,0.142107487
900000,0.161504984
1000000,0.179467916
2000000,0.378937006
