Size,Time
1,0.000000477
2,0.000000477
3,0.000000715
4,0.000001192
5,0.000000715
6,0.000001192
7,0.000000954
8,0.000001192
9,0.000001431
10,0.000001669
20,0.000002384
30,0.000003576
40,0.000004053
50,0.000005960
60,0.000007153
70,0.000007868
80,0.000010490
90,0.000012636
100,0.000013828
200,0.000034094
300,0.000065088
400,0.000104189
500,0.000107527
600,0.000201464
700,0.000252485
800,0.000327110
900,0.000178099
1000,0.000218630
2000,0.000895023
3000,0.001674414
4000,0.002759695
5000,0.005106449
6000,0.006498814
7000,0.011039019
8000,0.011106730
9000,0.014041185
10000,0.017398119
20000,0.084018230
30000,0.158524036
40000,0.323752642
50000,0.412913561
60000,0.601280928
70000,0.833151817
80000,1.093193054
90000,1.335157394
100000,1.667735100
200000,6.695646286
300000,14.904769421
400000,26.393561125
500000,41.275507212
600000,59.734398127
700000,81.259898663
800000,106.096775055
900000,134.049842834
1000000,165.542384624
2000000,656.668657064
