Size,Time
1,0.000001192
2,0.000001192
3,0.000001669
4,0.000001192
5,0.000001907
6,0.000002384
7,0.000002146
8,0.000002623
9,0.000003099
10,0.000003576
20,0.000005722
30,0.000008821
40,0.000012398
50,0.000020266
60,0.000017881
70,0.000020504
80,0.000024080
90,0.000027895
100,0.000027180
200,0.000064850
300,0.000072241
400,0.000077963
500,0.000152826
600,0.000180960
700,0.000216484
800,0.000262260
900,0.000170946
1000,0.000185728
2000,0.000370264
3000,0.000704288
4000,0.001324177
5000,0.000950098
6000,0.001163721
7000,0.001767397
8000,0.002576828
9000,0.001766443
10000,0.001800299
20000,0.003645420
30000,0.006495714
40000,0.007667303
50000,0.009802103
60000,0.011881828
70000,0.014444351
80000,0.017077923
90000,0.017449379
100000,0.017820835
200000,0.035126925
300000,0.068270445
400000,0.072046041
500000,0.127296925
600000,0.118384123
700000,0.124408722
800000,0.145065308
900000,0.258627892
1000000,0.182845354
2000000,0.543472528
