Size,Time
1,0.000000477
2,0.000000477
3,0.000000715
4,0.000000715
5,0.000000715
6,0.000000715
7,0.000001192
8,0.000001192
9,0.000001431
10,0.000001192
20,0.000002146
30,0.000002861
40,0.000003815
50,0.000005245
60,0.000005722
70,0.000006914
80,0.000007868
90,0.000009298
100,0.000010490
200,0.000039816
300,0.000020027
400,0.000033140
500,0.000071526
600,0.000091553
700,0.000110865
800,0.000136852
900,0.000082016
1000,0.000095367
2000,0.000267982
3000,0.000627756
4000,0.001847744
5000,0.001399040
6000,0.002571106
7000,0.002445698
8000,0.006645203
9000,0.005663872
10000,0.005286932
20000,0.019181490
30000,0.039601326
40000,0.066440821
50000,0.105240583
60000,0.153482199
70000,0.208897114
80000,0.266816854
90000,0.356459618
100000,0.446189165
200000,1.661782265
300000,3.770257950
400000,6.678895950
500000,10.409963608
600000,14.970680714
700000,20.373233557
800000,26.586617231
900000,33.496338844
1000000,41.361030340
2000000,165.636505127
