Size,Time
0,0.000000238
1,0.000000715
2,0.000001192
3,0.000001431
4,0.000002146
5,0.000002384
10,0.000003099
15,0.000006676
20,0.000007868
25,0.000010252
30,0.000010490
35,0.000014305
40,0.000016212
45,0.000017643
50,0.000019073
100,0.000025511
150,0.000040054
200,0.000055552
250,0.000115156
300,0.000134468
350,0.000176907
400,0.000184774
450,0.000144243
500,0.000149965
1000,0.000358582
1500,0.000538111
2000,0.000681877
2500,0.000901937
3000,0.000973463
3500,0.001172543
4000,0.001374722
4500,0.001728535
5000,0.002706528
10000,0.004440308
15000,0.006454945
20000,0.008847237
25000,0.011070728
30000,0.012933254
35000,0.015150309
40000,0.018728733
45000,0.022093058
50000,0.025252581
100000,0.059215784
150000,0.113471508
200000,0.168356657
250000,0.212390661
300000,0.275675774
350000,0.292883396
400000,0.379821777
450000,0.406887531
500000,0.483028650
1000000,1.131199121
