Size,Time
0,0.000000238
1,0.000000477
2,0.000000477
3,0.000000715
4,0.000000715
5,0.000000715
10,0.000000954
15,0.000001669
20,0.000001669
25,0.000002384
30,0.000002623
35,0.000003338
40,0.000004768
45,0.000004292
50,0.000004768
100,0.000005245
150,0.000009775
200,0.000011921
250,0.000028849
300,0.000037193
350,0.000046968
400,0.000055552
450,0.000046730
500,0.000048161
1000,0.000162601
1500,0.000336170
2000,0.000486612
2500,0.000781059
3000,0.001289129
3500,0.001379013
4000,0.001896858
4500,0.002372026
5000,0.003341675
10000,0.010554314
15000,0.023403168
20000,0.041062832
25000,0.064388752
30000,0.107517242
35000,0.126557350
40000,0.176168442
45000,0.220988512
50000,0.288791656
100000,1.198444366
150000,2.516050100
200000,4.101501226
250000,7.044948578
300000,9.982330322
350000,12.400743008
400000,17.277561665
450000,20.820413351
500000,25.137648344
1000000,100.324726582
