Size,Time
0,0.000000238
1,0.000000954
2,0.000001669
3,0.000001907
4,0.000002146
5,0.000002146
10,0.000004768
15,0.000005960
20,0.000008821
25,0.000010967
30,0.000012159
35,0.000014067
40,0.000015259
45,0.000016451
50,0.000019550
100,0.000041246
150,0.000042915
200,0.000057220
250,0.000134706
300,0.000136137
350,0.000176907
400,0.000190258
450,0.000146151
500,0.000164509
1000,0.000304699
1500,0.000532150
2000,0.001011848
2500,0.000847340
3000,0.001043558
3500,0.001999140
4000,0.001431227
4500,0.001641273
5000,0.001840591
10000,0.004485130
15000,0.006406307
20000,0.008478165
25000,0.010848761
30000,0.014348984
35000,0.021574974
40000,0.018626690
45000,0.021771669
50000,0.038094282
100000,0.068715096
150000,0.114882469
200000,0.152469397
250000,0.231846094
300000,0.264805794
350000,0.320158482
400000,0.423829794
450000,0.482609272
500000,0.488252163
1000000,1.216125488
