Size,Time
0,0.000000477
1,0.000000477
2,0.000000477
3,0.000000715
4,0.000000715
5,0.000000715
10,0.000001192
15,0.000001669
20,0.000001907
25,0.000002623
30,0.000002861
35,0.000003338
40,0.000004292
45,0.000004768
50,0.000004768
100,0.000008583
150,0.000010490
200,0.000012398
250,0.000029802
300,0.000040531
350,0.000046015
400,0.000060320
450,0.000050783
500,0.000052452
1000,0.000140429
1500,0.000301361
2000,0.000665426
2500,0.000738621
3000,0.001046419
3500,0.002068043
4000,0.001867056
4500,0.002274752
5000,0.002764702
10000,0.010514259
15000,0.024746656
20000,0.041611671
25000,0.063820124
30000,0.103204727
35000,0.149300098
40000,0.175350904
45000,0.216656685
50000,0.299250603
100000,1.112318039
150000,2.564806700
200000,4.102374315
250000,6.987126589
300000,10.005570889
350000,12.356488228
400000,17.266716957
450000,20.794470310
500000,25.063518047
1000000,100.218741894
