Size,Time
0,0.000000000
1,0.000000000
2,0.000000000
3,0.000000000
4,0.000000000
5,0.000000000
10,0.000000000
15,0.000000000
20,0.000000000
25,0.000000000
30,0.000000000
35,0.000000000
40,0.000000000
45,0.000000000
50,0.000000000
100,0.000000000
150,0.000000000
200,0.000000000
250,0.000000000
300,0.000000000
350,0.000000000
400,0.000000000
450,0.000000000
500,0.000000000
1000,0.000000000
1500,0.000000000
2000,0.000000000
2500,132.000000000
3000,0.000000000
3500,0.000000000
4000,148.000000000
4500,256.000000000
5000,252.000000000
10000,740.000000000
15000,916.000000000
20000,1436.000000000
25000,1632.000000000
30000,2000.000000000
35000,2316.000000000
40000,2944.000000000
45000,3208.000000000
50000,3600.000000000
100000,6364.000000000
150000,9476.000000000
200000,14516.000000000
250000,17560.000000000
300000,18868.000000000
350000,25952.000000000
400000,28944.000000000
450000,32124.000000000
500000,35256.000000000
1000000,62520.000000000
