Size,Time
0,0.000000000
1,0.000000000
2,0.000000000
3,0.000000000
4,0.000000000
5,0.000000000
10,0.000000000
15,0.000000000
20,0.000000000
25,0.000000000
30,0.000000000
35,0.000000000
40,0.000000000
45,0.000000000
50,0.000000000
100,0.000000000
150,0.000000000
200,0.000000000
250,0.000000000
300,0.000000000
350,0.000000000
400,0.000000000
450,0.000000000
500,0.000000000
1000,0.000000000
1500,0.000000000
2000,0.000000000
2500,0.000000000
3000,0.000000000
3500,132.000000000
4000,0.000000000
4500,0.000000000
5000,0.000000000
10000,0.000000000
15000,172.000000000
20000,0.000000000
25000,196.000000000
30000,128.000000000
35000,140.000000000
40000,164.000000000
45000,184.000000000
50000,208.000000000
100000,392.000000000
150000,580.000000000
200000,788.000000000
250000,984.000000000
300000,2732.000000000
350000,1376.000000000
400000,2532.000000000
450000,1952.000000000
500000,1964.000000000
1000000,4096.000000000
