Size,Time
0,0.000000000
1,0.000000000
2,0.000000000
3,0.000000000
4,0.000000000
5,0.000000000
10,0.000000000
15,0.000000000
20,0.000000000
25,0.000000000
30,0.000000000
35,0.000000000
40,0.000000000
45,0.000000000
50,0.000000000
100,0.000000000
150,0.000000000
200,0.000000000
250,0.000000000
300,0.000000000
350,0.000000000
400,0.000000000
450,0.000000000
500,0.000000000
1000,0.000000000
1500,0.000000000
2000,0.000000000
2500,0.000000000
3000,0.000000000
3500,0.000000000
4000,0.000000000
4500,0.000000000
5000,0.000000000
10000,0.000000000
15000,0.000000000
20000,0.000000000
25000,0.000000000
30000,128.000000000
35000,148.000000000
40000,164.000000000
45000,184.000000000
50000,184.000000000
100000,400.000000000
150000,596.000000000
200000,908.000000000
250000,988.000000000
300000,2204.000000000
350000,2348.000000000
400000,1572.000000000
450000,1664.000000000
500000,1968.000000000
1000000,3836.000000000
