Size,Time
0,0.000000000
1,0.000000000
2,0.000000000
3,0.000000000
4,0.000000000
5,0.000000000
10,0.000000000
15,0.000000000
20,0.000000000
25,0.000000000
30,0.000000000
35,0.000000000
40,0.000000000
45,0.000000000
50,0.000000000
100,0.000000000
150,0.000000000
200,0.000000000
250,0.000000000
300,0.000000000
350,0.000000000
400,0.000000000
450,0.000000000
500,0.000000000
1000,0.000000000
1500,0.000000000
2000,0.000000000
2500,0.000000000
3000,148.000000000
3500,128.000000000
4000,136.000000000
4500,208.000000000
5000,296.000000000
10000,748.000000000
15000,860.000000000
20000,1480.000000000
25000,1692.000000000
30000,2104.000000000
35000,2648.000000000
40000,2932.000000000
45000,3176.000000000
50000,3396.000000000
100000,7168.000000000
150000,11336.000000000
200000,14468.000000000
250000,17608.000000000
300000,22824.000000000
350000,25892.000000000
400000,29004.000000000
450000,32140.000000000
500000,35252.000000000
1000000,70680.000000000
