Size,Time
0,0.000000000
1,0.000000000
2,0.000000000
3,0.000000000
4,0.000000000
5,0.000000000
10,0.000000000
15,0.000000000
20,0.000000000
25,0.000000000
30,0.000000000
35,0.000000000
40,0.000000000
45,0.000000000
50,0.000000000
100,0.000000000
150,0.000000000
200,0.000000000
250,0.000000000
300,0.000000000
350,0.000000000
400,0.000000000
450,0.000000000
500,0.000000000
1000,0.000000000
1500,0.000000000
2000,0.000000000
2500,180.000000000
3000,188.000000000
3500,168.000000000
4000,228.000000000
4500,220.000000000
5000,320.000000000
10000,732.000000000
15000,936.000000000
20000,1492.000000000
25000,1792.000000000
30000,2116.000000000
35000,2588.000000000
40000,2948.000000000
45000,3232.000000000
50000,3528.000000000
100000,7048.000000000
150000,11336.000000000
200000,14500.000000000
250000,17536.000000000
300000,22760.000000000
350000,25892.000000000
400000,29084.000000000
450000,32148.000000000
500000,35248.000000000
1000000,70644.000000000
