Size,Time
0,0.000000000
1,0.000000000
2,0.000000000
3,0.000000000
4,0.000000000
5,0.000000000
10,0.000000000
15,0.000000000
20,0.000000000
25,0.000000000
30,0.000000000
35,0.000000000
40,0.000000000
45,0.000000000
50,0.000000000
100,0.000000000
150,0.000000000
200,0.000000000
250,0.000000000
300,0.000000000
350,0.000000000
400,0.000000000
450,0.000000000
500,0.000000000
1000,0.000000000
1500,0.000000000
2000,0.000000000
2500,0.000000000
3000,0.000000000
3500,0.000000000
4000,0.000000000
4500,0.000000000
5000,132.000000000
10000,364.000000000
15000,552.000000000
20000,824.000000000
25000,904.000000000
30000,1120.000000000
35000,1560.000000000
40000,1752.000000000
45000,1820.000000000
50000,2000.000000000
100000,5012.000000000
150000,9080.000000000
200000,10148.000000000
250000,11248.000000000
300000,18360.000000000
350000,19504.000000000
400000,20440.000000000
450000,21524.000000000
500000,22476.000000000
1000000,45200.000000000
