Size,Time
1,128.000000000
2,0.000000000
3,0.000000000
4,0.000000000
5,0.000000000
6,0.000000000
7,0.000000000
8,0.000000000
9,0.000000000
10,0.000000000
20,0.000000000
30,0.000000000
40,0.000000000
50,0.000000000
60,0.000000000
70,0.000000000
80,0.000000000
90,0.000000000
100,0.000000000
200,0.000000000
300,0.000000000
400,0.000000000
500,128.000000000
600,0.000000000
700,0.000000000
800,0.000000000
900,0.000000000
1000,0.000000000
2000,0.000000000
3000,128.000000000
4000,128.000000000
5000,0.000000000
6000,128.000000000
7000,128.000000000
8000,256.000000000
9000,256.000000000
10000,384.000000000
20000,1024.000000000
30000,1408.000000000
40000,1792.000000000
50000,2176.000000000
60000,2560.000000000
70000,2944.000000000
80000,3456.000000000
90000,3840.000000000
100000,4224.000000000
200000,10368.000000000
300000,13056.000000000
400000,18816.000000000
500000,19712.000000000
600000,22144.000000000
700000,26496.000000000
800000,29824.000000000
900000,33152.000000000
1000000,34560.000000000
2000000,91776.000000000
