Size,Time
1,0.000000000
2,0.000000000
3,0.000000000
4,0.000000000
5,0.000000000
6,0.000000000
7,0.000000000
8,0.000000000
9,0.000000000
10,0.000000000
20,0.000000000
30,0.000000000
40,0.000000000
50,0.000000000
60,0.000000000
70,0.000000000
80,0.000000000
90,0.000000000
100,0.000000000
200,0.000000000
300,128.000000000
400,0.000000000
500,0.000000000
600,0.000000000
700,0.000000000
800,0.000000000
900,128.000000000
1000,128.000000000
2000,0.000000000
3000,0.000000000
4000,128.000000000
5000,128.000000000
6000,128.000000000
7000,128.000000000
8000,256.000000000
9000,384.000000000
10000,384.000000000
20000,768.000000000
30000,1280.000000000
40000,1664.000000000
50000,2176.000000000
60000,2688.000000000
70000,3200.000000000
80000,3712.000000000
90000,4096.000000000
100000,4608.000000000
200000,10240.000000000
300000,16512.000000000
400000,20608.000000000
500000,24832.000000000
600000,33136.000000000
700000,37248.000000000
800000,41344.000000000
900000,45568.000000000
1000000,49664.000000000
2000000,99472.000000000
