Size,Time
1,0.000000000
2,0.000000000
3,0.000000000
4,0.000000000
5,0.000000000
6,0.000000000
7,0.000000000
8,0.000000000
9,0.000000000
10,0.000000000
20,0.000000000
30,0.000000000
40,0.000000000
50,0.000000000
60,0.000000000
70,0.000000000
80,0.000000000
90,0.000000000
100,0.000000000
200,0.000000000
300,0.000000000
400,0.000000000
500,0.000000000
600,0.000000000
700,0.000000000
800,0.000000000
900,0.000000000
1000,0.000000000
2000,0.000000000
3000,0.000000000
4000,128.000000000
5000,128.000000000
6000,256.000000000
7000,384.000000000
8000,256.000000000
9000,512.000000000
10000,512.000000000
20000,1152.000000000
30000,1792.000000000
40000,2304.000000000
50000,2944.000000000
60000,3712.000000000
70000,4352.000000000
80000,4992.000000000
90000,5504.000000000
100000,6144.000000000
200000,12416.000000000
300000,18688.000000000
400000,24960.000000000
500000,31232.000000000
600000,37376.000000000
700000,43648.000000000
800000,49920.000000000
900000,56192.000000000
1000000,62464.000000000
2000000,124928.000000000
