Size,Time
1,0.000000000
2,0.000000000
3,0.000000000
4,0.000000000
5,0.000000000
6,0.000000000
7,0.000000000
8,0.000000000
9,0.000000000
10,0.000000000
20,0.000000000
30,0.000000000
40,0.000000000
50,0.000000000
60,0.000000000
70,0.000000000
80,0.000000000
90,0.000000000
100,0.000000000
200,0.000000000
300,0.000000000
400,0.000000000
500,0.000000000
600,0.000000000
700,0.000000000
800,0.000000000
900,0.000000000
1000,0.000000000
2000,128.000000000
3000,128.000000000
4000,0.000000000
5000,0.000000000
6000,128.000000000
7000,128.000000000
8000,128.000000000
9000,128.000000000
10000,128.000000000
20000,256.000000000
30000,256.000000000
40000,384.000000000
50000,384.000000000
60000,512.000000000
70000,768.000000000
80000,896.000000000
90000,896.000000000
100000,896.000000000
200000,1792.000000000
300000,4120.000000000
400000,3584.000000000
500000,3968.000000000
600000,6892.000000000
700000,6912.000000000
800000,7212.000000000
900000,7680.000000000
1000000,7808.000000000
2000000,16028.000000000
