Size,Time
1,0.000000030
2,0.000000040
3,0.000000050
4,0.000000111
5,0.000000110
6,0.000000180
7,0.000000210
8,0.000000191
9,0.000000180
10,0.000000320
20,0.000000781
30,0.000001082
40,0.000001342
50,0.000001914
60,0.000002284
70,0.000002965
80,0.000003116
90,0.000003637
100,0.000004028
200,0.000009608
300,0.000016712
400,0.000023113
500,0.000032661
600,0.000037940
700,0.000045435
800,0.000052758
900,0.000060694
1000,0.000066634
2000,0.000137868
3000,0.000206145
4000,0.000289971
5000,0.000368387
6000,0.000474566
7000,0.000588007
8000,0.000685440
9000,0.000731726
10000,0.000886906
20000,0.001747953
30000,0.003006782
40000,0.003690108
50000,0.005643985
60000,0.005694259
70000,0.007908782
80000,0.007817251
90000,0.008958291
100000,0.012350062
200000,0.032437166
300000,0.048824223
400000,0.076477680
500000,0.095407864
600000,0.118093206
700000,0.135070615
800000,0.160992720
900000,0.181492344
1000000,0.205009020
2000000,0.416927155
