Size,Time
1,0.000000030
2,0.000000030
3,0.000000040
4,0.000000040
5,0.000000030
6,0.000000040
7,0.000000040
8,0.000000040
9,0.000000050
10,0.000000040
20,0.000000081
30,0.000000100
40,0.000000120
50,0.000000141
60,0.000000171
70,0.000000190
80,0.000000210
90,0.000000231
100,0.000000250
200,0.000000481
300,0.000000721
400,0.000000912
500,0.000001773
600,0.000001362
700,0.000001603
800,0.000001804
900,0.000002063
1000,0.000002245
2000,0.000004478
3000,0.000006692
4000,0.000008997
5000,0.000011121
6000,0.000013776
7000,0.000017482
8000,0.000017864
9000,0.000019997
10000,0.000022222
20000,0.000044633
30000,0.000066575
40000,0.000088606
50000,0.000110917
60000,0.000133149
70000,0.000155741
80000,0.000177211
90000,0.000200134
100000,0.000221614
200000,0.000442877
300000,0.000665112
400000,0.000911852
500000,0.001120701
600000,0.001702017
700000,0.001565101
800000,0.001782728
900000,0.002736187
1000000,0.002237766
2000000,0.004532811
