Size,Time
0,0.000000030
1,0.000000041
2,0.000000060
3,0.000000101
4,0.000000110
5,0.000000130
10,0.000000301
15,0.000000411
20,0.000000461
25,0.000000591
30,0.000000702
35,0.000000942
40,0.000001312
45,0.000001303
50,0.000001503
100,0.000003466
150,0.000005290
200,0.000007494
250,0.000009768
300,0.000011822
350,0.000015599
400,0.000020258
450,0.000021520
500,0.000024976
1000,0.000070131
1500,0.000105917
2000,0.000130002
2500,0.000165910
3000,0.000204311
3500,0.000228306
4000,0.000279361
4500,0.000306723
5000,0.000366003
10000,0.000786288
15000,0.001221560
20000,0.001704892
25000,0.002128694
30000,0.002550701
35000,0.002977097
40000,0.003471911
45000,0.004560232
50000,0.004370999
100000,0.009116406
150000,0.016384162
200000,0.025806349
250000,0.033653587
300000,0.040715729
350000,0.045297580
400000,0.053953397
450000,0.059165124
500000,0.068252867
1000000,0.134966531
