Size,Time
0,0.000000030
1,0.000000050
2,0.000000060
3,0.000000050
4,0.000000050
5,0.000000060
10,0.000000060
15,0.000000080
20,0.000000100
25,0.000000131
30,0.000000110
35,0.000000110
40,0.000000140
45,0.000000150
50,0.000000270
100,0.000000271
150,0.000000381
200,0.000000511
250,0.000000601
300,0.000000742
350,0.000000832
400,0.000000932
450,0.000001062
500,0.000001182
1000,0.000002284
1500,0.000003396
2000,0.000004519
2500,0.000005660
3000,0.000006723
3500,0.000007834
4000,0.000008957
4500,0.000010069
5000,0.000011161
10000,0.000022282
15000,0.000053239
20000,0.000044513
25000,0.000055744
30000,0.000067105
35000,0.000087434
40000,0.000088996
45000,0.000100578
50000,0.000111237
100000,0.000221763
150000,0.000341486
200000,0.000453305
250000,0.000564612
300000,0.000748675
350000,0.000785914
400000,0.000909575
450000,0.001009672
500000,0.001118785
1000000,0.002251135
