Size,Time
0,0.000000030
1,0.000000030
2,0.000000050
3,0.000000060
4,0.000000110
5,0.000000140
10,0.000000261
15,0.000000451
20,0.000000571
25,0.000000541
30,0.000000892
35,0.000000892
40,0.000001162
45,0.000001252
50,0.000001172
100,0.000002455
150,0.000005270
200,0.000007434
250,0.000012323
300,0.000012113
350,0.000015690
400,0.000017532
450,0.000021640
500,0.000030677
1000,0.000072244
1500,0.000118722
2000,0.000145292
2500,0.000183633
3000,0.000228246
3500,0.000262510
4000,0.000280624
4500,0.000328724
5000,0.000356115
10000,0.000817255
15000,0.001240115
20000,0.001692359
25000,0.002084481
30000,0.002518641
35000,0.003006242
40000,0.003825400
45000,0.004481866
50000,0.004645471
100000,0.009753786
150000,0.017744150
200000,0.023015490
250000,0.033319953
300000,0.040128802
350000,0.044451080
400000,0.051911175
450000,0.063837586
500000,0.067623913
1000000,0.146949899
