Size,Time
0,0.000000030
1,0.000000030
2,0.000000030
3,0.000000030
4,0.000000040
5,0.000000040
10,0.000000040
15,0.000000070
20,0.000000070
25,0.000000100
30,0.000000100
35,0.000000110
40,0.000000231
45,0.000000141
50,0.000000140
100,0.000000241
150,0.000000361
200,0.000000491
250,0.000000601
300,0.000000691
350,0.000000801
400,0.000000962
450,0.000001042
500,0.000001152
1000,0.000002254
1500,0.000005290
2000,0.000004468
2500,0.000005571
3000,0.000006693
3500,0.000012754
4000,0.000008957
4500,0.000010018
5000,0.000011111
10000,0.000022261
15000,0.000033302
20000,0.000044603
25000,0.000055524
30000,0.000066835
35000,0.000077464
40000,0.000088826
45000,0.000155180
50000,0.000110716
100000,0.000240189
150000,0.000335456
200000,0.000443277
250000,0.000563532
300000,0.000676453
350000,0.000785255
400000,0.000896553
450000,0.001014062
500000,0.001155286
1000000,0.002236153
