Size,Time
0,0.000000030
1,0.000000030
2,0.000000049
3,0.000000060
4,0.000000080
5,0.000000120
10,0.000000270
15,0.000000361
20,0.000000410
25,0.000000561
30,0.000000812
35,0.000000792
40,0.000001112
45,0.000001312
50,0.000001133
100,0.000003135
150,0.000004959
200,0.000007064
250,0.000009127
300,0.000011983
350,0.000016210
400,0.000032351
450,0.000021200
500,0.000023494
1000,0.000066163
1500,0.000099276
2000,0.000143267
2500,0.000164036
3000,0.000213438
3500,0.000256840
4000,0.000261157
4500,0.000309909
5000,0.000391872
10000,0.000773624
15000,0.001217843
20000,0.001725552
25000,0.002043394
30000,0.002508442
35000,0.002956509
40000,0.003456341
45000,0.004038288
50000,0.004559270
100000,0.009573359
150000,0.016173128
200000,0.021915356
250000,0.025456466
300000,0.035348370
350000,0.041275953
400000,0.046764298
450000,0.055108453
500000,0.060010603
1000000,0.120396736
