Size,Time
0,0.000000030
1,0.000000030
2,0.000000030
3,0.000000030
4,0.000000040
5,0.000000030
10,0.000000051
15,0.000000060
20,0.000000080
25,0.000000090
30,0.000000090
35,0.000000110
40,0.000000110
45,0.000000130
50,0.000000140
100,0.000000240
150,0.000000361
200,0.000000470
250,0.000000612
300,0.000000701
350,0.000000842
400,0.000001703
450,0.000001032
500,0.000001172
1000,0.000002254
1500,0.000003396
2000,0.000004469
2500,0.000005631
3000,0.000006742
3500,0.000013906
4000,0.000008957
4500,0.000010029
5000,0.000017372
10000,0.000022261
15000,0.000033373
20000,0.000044784
25000,0.000055594
30000,0.000066614
35000,0.000077615
40000,0.000088695
45000,0.000099666
50000,0.000110797
100000,0.000231702
150000,0.000340896
200000,0.000443127
250000,0.000553874
300000,0.000666044
350000,0.000785126
400000,0.000897325
450000,0.001010826
500000,0.001117506
1000000,0.002233639
