Size,Time
0,0.000000020
1,0.000000080
2,0.000000090
3,0.000000080
4,0.000000140
5,0.000000191
10,0.000000281
15,0.000000330
20,0.000000451
25,0.000000831
30,0.000000751
35,0.000000791
40,0.000000941
45,0.000001052
50,0.000001664
100,0.000002895
150,0.000004388
200,0.000006041
250,0.000010229
300,0.000010429
350,0.000014477
400,0.000017863
450,0.000023083
500,0.000028012
1000,0.000067796
1500,0.000100337
2000,0.000135573
2500,0.000169746
3000,0.000200163
3500,0.000227313
4000,0.000271446
4500,0.000333511
5000,0.000351274
10000,0.000809038
15000,0.001212851
20000,0.001857452
25000,0.002122094
30000,0.002579808
35000,0.003014028
40000,0.003403443
45000,0.004313538
50000,0.004700209
100000,0.009696932
150000,0.016012230
200000,0.019561306
250000,0.025980960
300000,0.035805108
350000,0.036899518
400000,0.044025798
450000,0.050205976
500000,0.056026033
1000000,0.121499140
