Size,Time
0,0.000000030
1,0.000000030
2,0.000000050
3,0.000000060
4,0.000000150
5,0.000000110
10,0.000000271
15,0.000000330
20,0.000000521
25,0.000000521
30,0.000000681
35,0.000000802
40,0.000001363
45,0.000001323
50,0.000001512
100,0.000003155
150,0.000005159
200,0.000007133
250,0.000007725
300,0.000012123
350,0.000015128
400,0.000019286
450,0.000017663
500,0.000022632
1000,0.000079388
1500,0.000101680
2000,0.000135493
2500,0.000165839
3000,0.000207387
3500,0.000231863
4000,0.000256680
4500,0.000314286
5000,0.000363449
10000,0.000766080
15000,0.001199168
20000,0.001618040
25000,0.002008739
30000,0.002444714
35000,0.002930450
40000,0.003287045
45000,0.003800023
50000,0.004161297
100000,0.009528666
150000,0.015775846
200000,0.021600729
250000,0.027492606
300000,0.032768725
350000,0.037484727
400000,0.046879612
450000,0.053439798
500000,0.060017356
1000000,0.136761903
