Size,Time
0,0.000000030
1,0.000000030
2,0.000000040
3,0.000000030
4,0.000000040
5,0.000000049
10,0.000000060
15,0.000000070
20,0.000000070
25,0.000000081
30,0.000000100
35,0.000000120
40,0.000000200
45,0.000000130
50,0.000000261
100,0.000000240
150,0.000000360
200,0.000000491
250,0.000000601
300,0.000000701
350,0.000000812
400,0.000000942
450,0.000001062
500,0.000001182
1000,0.000002274
1500,0.000003396
2000,0.000004619
2500,0.000005611
3000,0.000006692
3500,0.000007994
4000,0.000008926
4500,0.000010009
5000,0.000016581
10000,0.000022211
15000,0.000033342
20000,0.000044392
25000,0.000055944
30000,0.000066534
35000,0.000078496
40000,0.000088645
45000,0.000099837
50000,0.000111028
100000,0.000222505
150000,0.000332351
200000,0.000453056
250000,0.000557190
300000,0.000675270
350000,0.000783513
400000,0.000898347
450000,0.001007651
500000,0.001118768
1000000,0.002245692
