Size,Time
0,0.000000030
1,0.000000029
2,0.000000040
3,0.000000050
4,0.000000091
5,0.000000130
10,0.000000270
15,0.000000391
20,0.000000501
25,0.000000791
30,0.000000630
35,0.000000972
40,0.000000982
45,0.000000972
50,0.000001182
100,0.000003998
150,0.000006492
200,0.000006802
250,0.000009819
300,0.000013776
350,0.000022311
400,0.000022782
450,0.000024195
500,0.000032030
1000,0.000082313
1500,0.000099004
2000,0.000148777
2500,0.000170037
3000,0.000204942
3500,0.000259675
4000,0.000299599
4500,0.000331017
5000,0.000368818
10000,0.000846097
15000,0.001249689
20000,0.001722831
25000,0.002118999
30000,0.002636764
35000,0.003013686
40000,0.004138863
45000,0.004100311
50000,0.004479227
100000,0.012319449
150000,0.018915592
200000,0.024371820
250000,0.030989043
300000,0.040492193
350000,0.044913352
400000,0.053866127
450000,0.060768601
500000,0.071618130
1000000,0.145996695
