Size,Time
0,0.000000031
1,0.000000030
2,0.000000040
3,0.000000031
4,0.000000030
5,0.000000030
10,0.000000050
15,0.000000050
20,0.000000070
25,0.000000081
30,0.000000091
35,0.000000110
40,0.000000120
45,0.000000130
50,0.000000140
100,0.000000260
150,0.000000381
200,0.000000501
250,0.000000601
300,0.000000691
350,0.000000831
400,0.000000952
450,0.000001673
500,0.000001162
1000,0.000002254
1500,0.000003366
2000,0.000004488
2500,0.000005570
3000,0.000006672
3500,0.000010960
4000,0.000008967
4500,0.000010209
5000,0.000011211
10000,0.000022583
15000,0.000033502
20000,0.000044373
25000,0.000055894
30000,0.000066595
35000,0.000077785
40000,0.000089196
45000,0.000099636
50000,0.000110887
100000,0.000221493
150000,0.000332992
200000,0.000443618
250000,0.000557160
300000,0.000674199
350000,0.000808519
400000,0.000894800
450000,0.001008051
500000,0.001120572
1000000,0.002248717
