Size,Time
1,0.000000050
2,0.000000071
3,0.000000130
4,0.000000141
5,0.000000140
6,0.000000160
7,0.000000201
8,0.000000211
9,0.000000260
10,0.000000260
20,0.000000972
30,0.000001313
40,0.000001253
50,0.000001703
60,0.000002064
70,0.000001773
80,0.000003176
90,0.000002826
100,0.000004037
200,0.000011081
300,0.000013866
400,0.000024075
500,0.000028764
600,0.000031149
700,0.000039203
800,0.000049242
900,0.000056255
1000,0.000062627
2000,0.000138668
3000,0.000208208
4000,0.000284361
5000,0.000362897
6000,0.000450892
7000,0.000530170
8000,0.000620829
9000,0.000705738
10000,0.000803670
20000,0.001960870
30000,0.002558034
40000,0.003462473
50000,0.004267165
60000,0.005204124
70000,0.006131324
80000,0.007115081
90000,0.008540661
100000,0.009003846
200000,0.019748151
300000,0.034558305
400000,0.049651840
500000,0.066684820
600000,0.075654183
700000,0.087391671
800000,0.104393897
900000,0.117405062
1000000,0.132787434
2000000,0.285386668
