Size,Time
1,0.000000060
2,0.000000060
3,0.000000080
4,0.000000170
5,0.000000090
6,0.000000140
7,0.000000141
8,0.000000171
9,0.000000260
10,0.000000220
20,0.000000461
30,0.000000711
40,0.000000911
50,0.000001583
60,0.000001693
70,0.000001683
80,0.000002014
90,0.000003416
100,0.000003226
200,0.000008295
300,0.000012474
400,0.000020548
500,0.000027331
600,0.000027411
700,0.000048841
800,0.000054521
900,0.000057908
1000,0.000068047
2000,0.000135693
3000,0.000205694
4000,0.000286744
5000,0.000358528
6000,0.000460449
7000,0.000538434
8000,0.000641135
9000,0.000694865
10000,0.000793429
20000,0.001707302
30000,0.002557767
40000,0.003467472
50000,0.004297749
60000,0.005383954
70000,0.006220062
80000,0.007302740
90000,0.008572166
100000,0.008973583
200000,0.023106332
300000,0.035016078
400000,0.048917404
500000,0.059013901
600000,0.072714623
700000,0.084341312
800000,0.095710279
900000,0.110046046
1000000,0.126841798
2000000,0.281900330
