Size,Time
1,0.000000030
2,0.000000030
3,0.000000030
4,0.000000040
5,0.000000040
6,0.000000040
7,0.000000061
8,0.000000050
9,0.000000040
10,0.000000051
20,0.000000070
30,0.000000100
40,0.000000110
50,0.000000140
60,0.000000180
70,0.000000200
80,0.000000200
90,0.000000231
100,0.000000250
200,0.000000491
300,0.000000691
400,0.000000922
500,0.000001152
600,0.000001362
700,0.000001603
800,0.000001803
900,0.000002014
1000,0.000002254
2000,0.000004458
3000,0.000006763
4000,0.000009027
5000,0.000011131
6000,0.000013345
7000,0.000024426
8000,0.000017824
9000,0.000019997
10000,0.000054922
20000,0.000044393
30000,0.000066444
40000,0.000088766
50000,0.000111347
60000,0.000132838
70000,0.000154980
80000,0.000177050
90000,0.000199493
100000,0.000222475
200000,0.000453206
300000,0.000667987
400000,0.000896293
500000,0.001128526
600000,0.001340152
700000,0.001574539
800000,0.001818354
900000,0.002018538
1000000,0.002246102
2000000,0.004475082
