Size,Time
1,0.000000040
2,0.000000040
3,0.000000070
4,0.000000070
5,0.000000071
6,0.000000100
7,0.000000081
8,0.000000100
9,0.000000070
10,0.000000140
20,0.000000101
30,0.000000131
40,0.000000150
50,0.000000170
60,0.000000190
70,0.000000210
80,0.000000261
90,0.000000250
100,0.000000440
200,0.000000501
300,0.000000721
400,0.000000942
500,0.000001162
600,0.000001373
700,0.000001613
800,0.000003016
900,0.000002064
1000,0.000002274
2000,0.000004499
3000,0.000010489
4000,0.000008977
5000,0.000011190
6000,0.000013385
7000,0.000025628
8000,0.000017833
9000,0.000020117
10000,0.000022332
20000,0.000045275
30000,0.000066644
40000,0.000088876
50000,0.000110957
60000,0.000133479
70000,0.000155450
80000,0.000177882
90000,0.000208859
100000,0.000222324
200000,0.000445150
300000,0.000674467
400000,0.000907031
500000,0.001120758
600000,0.001381615
700000,0.001573944
800000,0.001804623
900000,0.002015797
1000000,0.002252197
2000000,0.004892498
