Size,Time
1,0.000000030
2,0.000000091
3,0.000000060
4,0.000000150
5,0.000000171
6,0.000000181
7,0.000000170
8,0.000000201
9,0.000000321
10,0.000000270
20,0.000000751
30,0.000001202
40,0.000001252
50,0.000002014
60,0.000002074
70,0.000001703
80,0.000003357
90,0.000003336
100,0.000003817
200,0.000012112
300,0.000013255
400,0.000024005
500,0.000029234
600,0.000029726
700,0.000040656
800,0.000055183
900,0.000059260
1000,0.000067396
2000,0.000150521
3000,0.000211584
4000,0.000296754
5000,0.000386150
6000,0.000467282
7000,0.000546340
8000,0.000667546
9000,0.000712600
10000,0.000818839
20000,0.001698711
30000,0.002576920
40000,0.003403092
50000,0.004377901
60000,0.005496229
70000,0.006182491
80000,0.007862315
90000,0.008540471
100000,0.009043149
200000,0.022700081
300000,0.031944526
400000,0.044801053
500000,0.059598643
600000,0.076100425
700000,0.086995272
800000,0.104198000
900000,0.121218119
1000000,0.138771795
2000000,0.298601684
