Size,Time
1,0.000000040
2,0.000000050
3,0.000000050
4,0.000000100
5,0.000000120
6,0.000000130
7,0.000000180
8,0.000000190
9,0.000000210
10,0.000000250
20,0.000000611
30,0.000000731
40,0.000001032
50,0.000001502
60,0.000001723
70,0.000001923
80,0.000002154
90,0.000003266
100,0.000003346
200,0.000006913
300,0.000011131
400,0.000020108
500,0.000041177
600,0.000032902
700,0.000040827
800,0.000048781
900,0.000058198
1000,0.000064229
2000,0.000136645
3000,0.000211244
4000,0.000283679
5000,0.000372326
6000,0.000453387
7000,0.000557762
8000,0.000640976
9000,0.000728470
10000,0.000821553
20000,0.001766878
30000,0.002649305
40000,0.003741924
50000,0.005307947
60000,0.005545822
70000,0.008666817
80000,0.008053192
90000,0.009025215
100000,0.010386718
200000,0.025202191
300000,0.043338343
400000,0.058108523
500000,0.074239983
600000,0.097450746
700000,0.112617586
800000,0.127092775
900000,0.151265224
1000000,0.170401091
2000000,0.351439529
