Size,Time
1,0.000000030
2,0.000000030
3,0.000000030
4,0.000000041
5,0.000000040
6,0.000000040
7,0.000000040
8,0.000000040
9,0.000000040
10,0.000000050
20,0.000000090
30,0.000000100
40,0.000000121
50,0.000000151
60,0.000000151
70,0.000000200
80,0.000000210
90,0.000000240
100,0.000000261
200,0.000000471
300,0.000000721
400,0.000000912
500,0.000001143
600,0.000001373
700,0.000001593
800,0.000001803
900,0.000002044
1000,0.000002254
2000,0.000004459
3000,0.000006682
4000,0.000008927
5000,0.000011130
6000,0.000013356
7000,0.000026139
8000,0.000017813
9000,0.000020118
10000,0.000022252
20000,0.000044854
30000,0.000066534
40000,0.000089096
50000,0.000111408
60000,0.000133289
70000,0.000155571
80000,0.000177271
90000,0.000208178
100000,0.000221874
200000,0.000444420
300000,0.000677034
400000,0.000897185
500000,0.001117325
600000,0.001339490
700000,0.001570060
800000,0.001802274
900000,0.002011595
1000000,0.002237516
2000000,0.005988227
