Size,Time
1,0.000000050
2,0.000000060
3,0.000000060
4,0.000000060
5,0.000000050
6,0.000000060
7,0.000000040
8,0.000000070
9,0.000000061
10,0.000000060
20,0.000000080
30,0.000000150
40,0.000000141
50,0.000000270
60,0.000000271
70,0.000000200
80,0.000000231
90,0.000000261
100,0.000000401
200,0.000000751
300,0.000000721
400,0.000000942
500,0.000002234
600,0.000002334
700,0.000001633
800,0.000002925
900,0.000002083
1000,0.000003847
2000,0.000004508
3000,0.000006722
4000,0.000014958
5000,0.000011201
6000,0.000013395
7000,0.000024896
8000,0.000017864
9000,0.000020087
10000,0.000022282
20000,0.000044463
30000,0.000066634
40000,0.000088875
50000,0.000111058
60000,0.000133178
70000,0.000155279
80000,0.000177601
90000,0.000331898
100000,0.000232233
200000,0.000452815
300000,0.001068682
400000,0.000896792
500000,0.001118945
600000,0.001350917
700000,0.001565418
800000,0.001793182
900000,0.002018753
1000000,0.002237630
2000000,0.004620270
