Size,Time
0,0.000000031
1,0.000000030
2,0.000000050
3,0.000000080
4,0.000000090
5,0.000000120
10,0.000000250
15,0.000000360
20,0.000000561
25,0.000000761
30,0.000000912
35,0.000001012
40,0.000001232
45,0.000001492
50,0.000001643
100,0.000003576
150,0.000006092
200,0.000008486
250,0.000011992
300,0.000052547
350,0.000018063
400,0.000023043
450,0.000026149
500,0.000030226
1000,0.000067416
1500,0.000114474
2000,0.000135873
2500,0.000168745
3000,0.000209090
3500,0.000287606
4000,0.000276747
4500,0.000349713
5000,0.000363829
10000,0.000845218
15000,0.001228794
20000,0.001648688
25000,0.002197722
30000,0.002647742
35000,0.003383896
40000,0.003611672
45000,0.004509117
50000,0.004701776
100000,0.011738190
150000,0.017723131
200000,0.025161435
250000,0.031545211
300000,0.041034102
350000,0.047619604
400000,0.056082361
450000,0.065611517
500000,0.068765644
1000000,0.153280866
