Size,Time
0,0.000000030
1,0.000000030
2,0.000000030
3,0.000000030
4,0.000000030
5,0.000000030
10,0.000000051
15,0.000000060
20,0.000000080
25,0.000000090
30,0.000000100
35,0.000000110
40,0.000000120
45,0.000000140
50,0.000000140
100,0.000000250
150,0.000000370
200,0.000000521
250,0.000000902
300,0.000000711
350,0.000000811
400,0.000000932
450,0.000001042
500,0.000001143
1000,0.000002254
1500,0.000003376
2000,0.000004529
2500,0.000005580
3000,0.000006833
3500,0.000012162
4000,0.000008957
4500,0.000010219
5000,0.000011201
10000,0.000036649
15000,0.000033332
20000,0.000044894
25000,0.000055584
30000,0.000066494
35000,0.000077876
40000,0.000088685
45000,0.000099826
50000,0.000111458
100000,0.000221744
150000,0.000342539
200000,0.000453356
250000,0.000554876
300000,0.000665292
350000,0.000786778
400000,0.000897725
450000,0.001520759
500000,0.001120071
1000000,0.002418354
