Size,Time
0,0.000000020
1,0.000000040
2,0.000000040
3,0.000000050
4,0.000000090
5,0.000000121
10,0.000000230
15,0.000000390
20,0.000000632
25,0.000000781
30,0.000000952
35,0.000001223
40,0.000001363
45,0.000001493
50,0.000001603
100,0.000003626
150,0.000005882
200,0.000008956
250,0.000012383
300,0.000016932
350,0.000019797
400,0.000023194
450,0.000029115
500,0.000031108
1000,0.000068417
1500,0.000099626
2000,0.000137647
2500,0.000171049
3000,0.000210422
3500,0.000264955
4000,0.000293849
4500,0.000338813
5000,0.000388445
10000,0.000842432
15000,0.001311728
20000,0.001777878
25000,0.002538458
30000,0.002769569
35000,0.004453242
40000,0.003871356
45000,0.004298724
50000,0.008324718
100000,0.014106050
150000,0.022145876
200000,0.033160555
250000,0.047390046
300000,0.058264163
350000,0.066547915
400000,0.079434238
450000,0.090121026
500000,0.092915852
1000000,0.201820999
