Size,Time
0,0.000000030
1,0.000000030
2,0.000000060
3,0.000000051
4,0.000000060
5,0.000000071
10,0.000000070
15,0.000000071
20,0.000000090
25,0.000000131
30,0.000000120
35,0.000000130
40,0.000000141
45,0.000000151
50,0.000000160
100,0.000000481
150,0.000000671
200,0.000000521
250,0.000000631
300,0.000000711
350,0.000000832
400,0.000000962
450,0.000001052
500,0.000001984
1000,0.000002274
1500,0.000003397
2000,0.000004508
2500,0.000005610
3000,0.000011261
3500,0.000007945
4000,0.000008946
4500,0.000010089
5000,0.000011181
10000,0.000022462
15000,0.000051957
20000,0.000044433
25000,0.000055634
30000,0.000066574
35000,0.000077695
40000,0.000089317
45000,0.000100076
50000,0.000111047
100000,0.000222034
150000,0.000333001
200000,0.000454557
250000,0.000565674
300000,0.000668706
350000,0.000791766
400000,0.000900068
450000,0.001010003
500000,0.001120618
1000000,0.002246536
