Size,Time
1,0.000000080
2,0.000000111
3,0.000000180
4,0.000000350
5,0.000002224
6,0.000000531
7,0.000000601
8,0.000000822
9,0.000000942
10,0.000000902
20,0.000004078
30,0.000003787
40,0.000005119
50,0.000008826
60,0.000008877
70,0.000010750
80,0.000012023
90,0.000011852
100,0.000015038
200,0.000031730
300,0.000049823
400,0.000067656
500,0.000111778
600,0.000101580
700,0.000123310
800,0.000137627
900,0.000156672
1000,0.000177070
2000,0.000374810
3000,0.000593177
4000,0.000822866
5000,0.001055110
6000,0.001326717
7000,0.002086004
8000,0.001843491
9000,0.002093397
10000,0.002371276
20000,0.006116086
30000,0.008808802
40000,0.012013283
50000,0.016255561
60000,0.018748806
70000,0.026146845
80000,0.026802439
90000,0.031361558
100000,0.035524999
200000,0.096762171
300000,0.150495627
400000,0.236563848
500000,0.423282898
600000,0.555069845
700000,0.587493696
800000,0.727826373
900000,0.738014401
1000000,0.883884951
2000000,2.146643592
