Size,Time
1,0.000000260
2,0.000000511
3,0.000000651
4,0.000000911
5,0.000001153
6,0.000001292
7,0.000001633
8,0.000001542
9,0.000001793
10,0.000002024
20,0.000004068
30,0.000005230
40,0.000007173
50,0.000008666
60,0.000009607
70,0.000012072
80,0.000013164
90,0.000016451
100,0.000016531
200,0.000032480
300,0.000048310
400,0.000068228
500,0.000102281
600,0.000104906
700,0.000147726
800,0.000133138
900,0.000211214
1000,0.000170088
2000,0.000362096
3000,0.000565245
4000,0.000771660
5000,0.001035292
6000,0.001282885
7000,0.001765706
8000,0.001875591
9000,0.002202190
10000,0.002565989
20000,0.009065772
30000,0.017795928
40000,0.028658462
50000,0.043720727
60000,0.061729711
70000,0.082795872
80000,0.108118668
90000,0.135011215
100000,0.165493913
200000,0.672716648
300000,1.570787201
400000,2.911487824
500000,4.628797315
600000,6.542307034
700000,8.732774631
800000,10.844230173
900000,14.643706979
1000000,17.131128067
2000000,69.053154949
